names,scores,logfoldchanges,pvals,pvals_adj
PLOD2,15.953188,1.6132091,2.7071836894801873e-57,3.1918422459693414e-55
ACTB,15.936922,0.7872566,3.5123083093589697e-57,4.127255934760113e-55
NDUFB2,15.9055605,0.8436061,5.798206628965895e-57,6.790666330290558e-55
SREK1,15.873178,1.222322,9.719344216590914e-57,1.1345154785711687e-54
TUBB2B,15.855804,3.1401818,1.2817530541056458e-56,1.4912050846358235e-54
MEIS2,15.849272,1.830306,1.4222010952306845e-56,1.649143085179211e-54
ATP2B1,15.846651,1.0134063,1.4827553625426603e-56,1.71370426522817e-54
SPCS3,15.813726,1.0799007,2.502189912889259e-56,2.882440740634889e-54
HBEGF,15.809519,1.7949036,2.6750366224920347e-56,3.071484043505152e-54
TMEM106C,15.780556,1.7869047,4.234432896826635e-56,4.846149831596216e-54
ODC1,15.780236,1.0586922,4.255948180959805e-56,4.854959069416323e-54
TMEM205,15.779313,1.1463618,4.318623489724683e-56,4.910512501989538e-54
CRB3,15.762814,1.9375043,5.60794167983503e-56,6.355968739387218e-54
WEE1,15.7621,1.996941,5.671632005346969e-56,6.407485225333305e-54
IER2,15.7604885,1.1223298,5.8181480174228875e-56,6.551943288210037e-54
KTN1,15.744875,0.89743507,7.447783571268533e-56,8.333690311354137e-54
RPS26,15.729631,0.581957,9.476158326975746e-56,1.0569676914866439e-53
LHX1,15.690419,2.5106378,1.7588947324173954e-55,1.9556571653001643e-53
BRD7,15.683209,1.4050076,1.970411157893612e-55,2.183924165065996e-53
FRMD4B,15.678989,1.6451014,2.1057793678650476e-55,2.32662132358297e-53
AC016549.1,15.676996,2.4240956,2.172896162055608e-55,2.3932509922828775e-53
HNRNPH1,15.673785,1.1300193,2.2855384395849617e-55,2.5094497835880507e-53
UBE2G1,15.6616535,1.3317604,2.766106025278831e-55,3.027636610534944e-53
CIB1,15.656006,0.8968284,3.0229385047461217e-55,3.298476533051397e-53
OCLN,15.624177,2.547684,4.98315760388518e-55,5.420533820820613e-53
