row_index,zero_proportion,zero_count,total_count
794,0,0,307
795,0,0,307
796,0,0,307
797,0,0,307
798,0,0,307
799,0,0,307
800,0,0,307
801,0,0,307
802,0,0,307
803,0.003257328990228013,1,307
804,0,0,307
805,0,0,307
806,0,0,307
807,0,0,307
808,0,0,307
809,0,0,307
810,0,0,307
811,0,0,307
812,0,0,307
813,0,0,307
814,0,0,307
815,0,0,307
816,0,0,307
817,0,0,307
818,0,0,307
819,0,0,307
820,0,0,307
821,0,0,307
822,0.006514657980456026,2,307
823,0,0,307
824,0.8631921824104235,265,307
825,0,0,307
826,0,0,307
827,0,0,307
828,0,0,307
829,0,0,307
830,0,0,307
831,0,0,307
832,0,0,307
833,0,0,307
834,0,0,307
835,0,0,307
836,0,0,307
837,0,0,307
838,0,0,307
839,0,0,307
840,0,0,307
841,0.7752442996742671,238,307
842,0.8957654723127035,275,307
843,0.4364820846905538,134,307
844,0,0,307
845,0.7915309446254072,243,307
846,0.016286644951140065,5,307
847,0.006514657980456026,2,307
848,0,0,307
849,0,0,307
850,0,0,307
851,0,0,307
852,0,0,307
853,0.013029315960912053,4,307
854,0.23127035830618892,71,307
855,0.18892508143322476,58,307
856,0.495114006514658,152,307
857,0,0,307
858,0,0,307
859,0.8078175895765473,248,307
860,0.41368078175895767,127,307
861,0,0,307
862,0,0,307
863,0.4169381107491857,128,307
864,0.6221498371335505,191,307
865,0,0,307
866,0,0,307
867,0,0,307
868,0,0,307
869,0.8469055374592834,260,307
870,0,0,307
871,0,0,307
872,0,0,307
873,0,0,307
874,0,0,307
875,0,0,307
876,0,0,307
877,0,0,307
878,0,0,307
879,0,0,307
880,0,0,307
881,0.5244299674267101,161,307
882,0,0,307
883,0.5146579804560261,158,307
884,0.1563517915309446,48,307
885,0,0,307
886,0.048859934853420196,15,307
887,0,0,307
888,0.06840390879478828,21,307
889,0,0,307
890,0.003257328990228013,1,307
891,0.23778501628664495,73,307
892,0.755700325732899,232,307
893,0.06188925081433225,19,307
894,0.3322475570032573,102,307
895,0,0,307
896,0.11400651465798045,35,307
897,0,0,307
898,0,0,307
