column_name,zero_proportion,zero_count,total_count
TCGA-25-2393-01A-01R-1569-13,0.1036,518,5000
TCGA-25-2396-01A-01R-1569-13,0.117,585,5000
TCGA-25-2397-01A-01R-1569-13,0.1246,623,5000
TCGA-25-2398-01A-01R-1569-13,0.1042,521,5000
TCGA-25-2399-01A-01R-1569-13,0.0836,418,5000
TCGA-25-2400-01A-01R-1569-13,0.1076,538,5000
TCGA-25-2401-01A-01R-1569-13,0.1252,626,5000
TCGA-25-2404-01A-01R-1569-13,0.0992,496,5000
TCGA-25-2409-01A-01R-1569-13,0.1044,522,5000
TCGA-29-1688-01A-01R-1566-13,0.1432,716,5000
TCGA-29-1690-01A-01R-1566-13,0.1106,553,5000
TCGA-29-1691-01A-01R-1566-13,0.1066,533,5000
TCGA-29-1693-01A-01R-1567-13,0.1194,597,5000
TCGA-29-1694-01A-01R-1567-13,0.0944,472,5000
TCGA-29-1695-01A-01R-1567-13,0.1148,574,5000
TCGA-29-1696-01A-01R-1567-13,0.1182,591,5000
TCGA-29-1697-01A-01R-1567-13,0.0836,418,5000
TCGA-29-1698-01A-01R-1567-13,0.088,440,5000
TCGA-29-1699-01A-01R-1567-13,0.0782,391,5000
TCGA-29-1701-01A-01R-1567-13,0.1134,567,5000
TCGA-29-1702-01A-01R-1567-13,0.092,460,5000
TCGA-29-1703-01A-01R-1567-13,0.114,570,5000
TCGA-29-1705-01A-01R-1567-13,0.1136,568,5000
TCGA-29-1710-01A-02R-1567-13,0.1056,528,5000
TCGA-29-1711-01A-01R-1567-13,0.1456,728,5000
TCGA-29-1761-01A-01R-1567-13,0.1188,594,5000
TCGA-29-1762-01A-01R-1567-13,0.0994,497,5000
TCGA-29-1763-01A-02R-1567-13,0.077,385,5000
TCGA-29-1770-01A-01R-1567-13,0.115,575,5000
TCGA-29-1770-02A-01R-1567-13,0.0972,486,5000
TCGA-29-1776-01A-01R-1567-13,0.12,600,5000
TCGA-29-1778-01A-01R-1567-13,0.113,565,5000
TCGA-29-1781-01A-01R-1567-13,0.1242,621,5000
TCGA-29-1783-01A-01R-1567-13,0.101,505,5000
TCGA-29-1784-01A-02R-1567-13,0.1092,546,5000
TCGA-29-1785-01A-01R-1567-13,0.138,690,5000
TCGA-29-2414-01A-02R-1569-13,0.1154,577,5000
TCGA-29-2414-02A-01R-1569-13,0.0958,479,5000
TCGA-29-2425-01A-01R-1569-13,0.133,665,5000
TCGA-29-2427-01A-01R-1569-13,0.1418,709,5000
TCGA-29-2428-01A-01R-1569-13,0.126,630,5000
TCGA-29-A5NZ-01A-11R-A406-31,0.0956,478,5000
TCGA-30-1718-01A-01R-1567-13,0.1262,631,5000
TCGA-30-1855-01A-01R-1567-13,0.0826,413,5000
TCGA-30-1857-01A-02R-1569-13,0.116,580,5000
TCGA-30-1860-01A-01R-1568-13,0.1314,657,5000
TCGA-30-1861-01A-01R-1568-13,0.1172,586,5000
TCGA-30-1862-01A-02R-1568-13,0.1202,601,5000
TCGA-30-1891-01A-01R-1568-13,0.1404,702,5000
TCGA-31-1944-01A-01R-1568-13,0.1124,562,5000
TCGA-31-1946-01A-01R-1568-13,0.1018,509,5000
TCGA-31-1951-01A-01R-1568-13,0.098,490,5000
TCGA-31-1953-01A-01R-1568-13,0.1046,523,5000
TCGA-31-1956-01A-01R-1568-13,0.1248,624,5000
TCGA-31-1959-01A-01R-1568-13,0.1038,519,5000
TCGA-36-1568-01A-01R-1566-13,0.1068,534,5000
TCGA-36-1569-01A-01R-1566-13,0.0976,488,5000
TCGA-36-1570-01A-01R-1566-13,0.0958,479,5000
TCGA-36-1571-01A-01R-1566-13,0.0926,463,5000
TCGA-36-1574-01A-01R-1566-13,0.125,625,5000
TCGA-36-1575-01A-01R-1566-13,0.0678,339,5000
TCGA-36-1576-01A-01R-1566-13,0.1046,523,5000
TCGA-36-1577-01A-01R-1566-13,0.0924,462,5000
TCGA-36-1578-01A-01R-1566-13,0.1026,513,5000
TCGA-36-1580-01A-01R-1566-13,0.0974,487,5000
TCGA-36-1581-01A-01R-1566-13,0.0952,476,5000
TCGA-3P-A9WA-01A-11R-A406-31,0.084,420,5000
TCGA-57-1582-01A-01R-1566-13,0.1208,604,5000
TCGA-57-1583-01A-01R-1566-13,0.1166,583,5000
TCGA-57-1584-01A-01R-1566-13,0.1166,583,5000
TCGA-57-1585-01A-01R-1566-13,0.1,500,5000
TCGA-57-1993-01A-01R-1568-13,0.097,485,5000
