gene,log2FC,pval,mean_high,mean_low,padj
TMX3,0.35479001964049317,6.848161246289087e-07,9.149223336151499,8.794433316511006,3.0003297674900212e-05
KIF20B,-0.35473149505642887,0.00036987304241840706,8.344656363272655,8.699387858329084,0.002889964967795496
TPK1,0.3542974331806015,0.007829795318238306,5.800170020136518,5.445872586955916,0.028575139586388635
DOK3,0.35425931398402,0.0025923755731867767,7.534985126964471,7.180725812980451,0.012514604251855434
SEPHS1,-0.3541891316908323,4.637019673117984e-05,10.322410217930285,10.676599349621117,0.0006339024687079022
STARD8,0.3540192049977362,0.000892592663838806,6.842006538568959,6.487987333571223,0.00561402031531389
RPUSD1,-0.3539527821420059,7.157510315480298e-06,9.716789923174291,10.070742705316297,0.00016399280331246503
CLINT1,0.3538929999603351,2.441392021666554e-05,11.398255302838827,11.044362302878492,0.0004004997706410622
IL1RAP,0.3538296024696468,0.0049841291734062055,10.193003365518601,9.839173763048954,0.020338462594705967
MSMP,0.35381565028449735,4.762978357024299e-06,6.004567997223982,5.650752346939485,0.0001210146820752864
C2CD2L,0.3537582058168933,3.320938670029687e-05,9.027683743680752,8.673925537863859,0.0004946436262831118
CLK4,0.3534660944872954,3.50775963306792e-05,8.106285779139057,7.752819684651762,0.0005122754982829191
CEACAM4,0.3533492411887522,0.01379808889970248,1.5326852562370819,1.1793360150483296,0.0436287750229459
CCDC96,0.3532792906068396,0.013266332863463794,5.741520293715758,5.388241003108918,0.04232737783772649
P704P,-0.3531909534312403,0.014087106228875787,3.3110266781294153,3.6642176315606556,0.044277635903638805
PCDHB4,0.3531818201643775,0.011780539898292143,5.137433030192728,4.7842512100283505,0.03875711322216516
CHST15,0.35312320092674376,0.010125484697024822,9.896331556294957,9.543208355368213,0.034624801373054806
SNRPC,-0.35304303074082455,0.0002529487307526147,10.436242760202866,10.78928579094369,0.0021575109451610723
RMND1,-0.35284133222018177,0.0002459661597287714,8.18153062412351,8.534371956343692,0.0021049500367831923
TSLP,0.3528292277710192,0.015741527160055956,2.13131915564421,1.7784899278731907,0.048122030697087335
SEPT8,0.35270637036076913,8.954507755742463e-05,10.157146654617756,9.804440284256987,0.0010173929336900814
LPIN1,0.352483018135489,0.00012201623561071619,9.788787330968805,9.436304312833316,0.0012705957334929246
C22orf9,0.35246919992729175,9.353376979131747e-06,10.18660734552391,9.834138145596619,0.00019789718571983932
DFNB31,0.35235335569900883,0.0003454185449841255,8.280416713347975,7.928063357648966,0.0027357818886904087
MOSC1,-0.35230476504361263,0.0036535964641206714,8.074725843309682,8.427030608353295,0.016077793553405103
ZNFX1,0.3522523575361909,9.224445133904331e-05,11.373535338014662,11.021282980478471,0.0010414752227550187
C18orf56,-0.35203720922342807,0.011631527255816213,4.445633323996049,4.797670533219477,0.038372290926763385
DHRS11,-0.35194686533712627,0.002881643251681635,8.313995164778442,8.665942030115568,0.013472919763133058
LSM4,-0.35181291702783035,1.9207420331960696e-05,11.474589730292045,11.826402647319876,0.000335952182495628
IMMP1L,-0.35172292713623765,0.0002459661597287714,6.27061891494784,6.622341842084078,0.0021049500367831923
MSH2,-0.3516606488297729,4.066459321748307e-05,9.900877922384007,10.25253857121378,0.0005706703812231629
INO80C,-0.3514847583023304,0.00032248301573991554,7.600010147984201,7.951494906286531,0.002594161402479222
C14orf104,-0.3513837798556949,9.529713725989216e-07,8.778803336532697,9.130187116388392,3.812522219597868e-05
CD59,0.3513718029735564,2.3275550331388357e-05,12.702401682462913,12.351029879489356,0.0003864128563796017
TAS2R4,0.3513365309243939,0.0021583775758811812,1.8418443495808168,1.490507818656423,0.010930627684114368
INSIG1,0.3511333607459335,0.012807326468395329,9.65046765473658,9.299334293990647,0.0412142610805778
TPRN,0.3508654960626245,0.0005577188463956536,9.739648253227179,9.388782757164554,0.003953553132519781
DNAJB4,0.3505569584322412,1.8008924085148826e-05,8.300831429124615,7.950274470692374,0.00031871359935125947
CDK1,-0.35051201634818696,0.0013051687672298838,9.897788305161326,10.248300321509513,0.007478388059250527
TPST2,0.3503908575515222,0.0003905921071679945,9.43213632296037,9.081745465408847,0.0030009435504955886
NIPAL3,0.35034106259431574,2.4028703547582556e-05,9.934306163068076,9.58396510047376,0.00039744714716871584
RAET1K,-0.35029812189883947,0.015631696006648644,2.768209921132715,3.1185080430315546,0.04785148793806594
PTCRA,0.3502557805229478,0.0021221797709954004,1.490646213651174,1.1403904331282262,0.010777697265024137
SNRPD2,-0.35006531026851206,0.0008478045989353382,11.693280344739136,12.043345655007649,0.005415758894265818
TMEM45A,-0.35003011748193735,0.006630100359769685,7.8221091024708596,8.172139219952797,0.025216280491751612
NANOS1,-0.34991371326951093,0.0029326244229888956,7.092632566212825,7.442546279482336,0.01367923461702143
DRD1,0.34989621603819643,0.0004956935236047802,1.1100232008731352,0.7601269848349388,0.0036049160989929823
JRKL,0.3497156694294148,6.920535466404685e-06,8.487877235843708,8.138161566414293,0.00016051850868240166
SLC16A6,0.34963095638122343,0.004117898066768606,4.996744400176397,4.647113443795174,0.017586766092499297
PRR5L,0.34927663475971116,0.002864830153019244,8.331830474325859,7.9825538395661475,0.01341176545183338
ARMCX3,0.3492354013671992,1.912899405797972e-08,9.79070573590644,9.441470334539241,2.321717028807363e-06
C11orf51,-0.3492213969643956,0.00017387403507686196,9.013771164334516,9.362992561298912,0.00163694931451031
TTLL3,0.3492018499707257,0.0010876715099180083,9.229840626969274,8.880638776998548,0.006503942520857917
PKD2,0.34905357911801715,0.00010614959521741822,8.95073850316115,8.601684924043132,0.0011438303412660369
KIAA1618,0.34903795156912665,0.0016408996875721259,9.78998844348014,9.440950491911014,0.008931963966017606
