column_name,zero_proportion,zero_count,total_count
TCGA-25-1329-01A-01R-1565-13,0.12352052993034923,2536,20531
TCGA-25-1623-01A-01R-1566-13,0.11933174224343675,2450,20531
TCGA-25-1625-01A-01R-1566-13,0.12386147776533048,2543,20531
TCGA-25-1626-01A-01R-1566-13,0.11207442404169304,2301,20531
TCGA-25-1627-01A-01R-1566-13,0.12994983196142418,2668,20531
TCGA-25-1628-01A-01R-1566-13,0.10842141152403682,2226,20531
TCGA-25-1630-01A-01R-1566-13,0.14071404218011788,2889,20531
TCGA-25-1631-01A-01R-1569-13,0.1293653499585992,2656,20531
TCGA-25-1632-01A-01R-1566-13,0.12853733378793045,2639,20531
TCGA-25-1633-01A-01R-1566-13,0.119867517412693,2461,20531
TCGA-25-1634-01A-01R-1566-13,0.17174029516341144,3526,20531
TCGA-25-1635-01A-01R-1566-13,0.13355413764551166,2742,20531
TCGA-25-1870-01A-01R-1567-13,0.1281963859529492,2632,20531
TCGA-25-1871-01A-01R-1567-13,0.10734986118552432,2204,20531
TCGA-25-2042-01A-01R-1568-13,0.12434854610101798,2553,20531
TCGA-25-2391-01A-01R-1569-13,0.13204422580488043,2711,20531
TCGA-25-2392-01A-01R-1569-13,0.11660415956358677,2394,20531
TCGA-25-2393-01A-01R-1569-13,0.12507914860454922,2568,20531
TCGA-25-2396-01A-01R-1569-13,0.13759680483171788,2825,20531
TCGA-25-2397-01A-01R-1569-13,0.14792265354829282,3037,20531
TCGA-25-2398-01A-01R-1569-13,0.12697871511373046,2607,20531
TCGA-25-2399-01A-01R-1569-13,0.11226925137596805,2305,20531
TCGA-25-2400-01A-01R-1569-13,0.12985241829428668,2666,20531
TCGA-25-2401-01A-01R-1569-13,0.14461058886561784,2969,20531
TCGA-25-2404-01A-01R-1569-13,0.12517656227168672,2570,20531
TCGA-25-2409-01A-01R-1569-13,0.13184939847060542,2707,20531
TCGA-29-1688-01A-01R-1566-13,0.16725926647508646,3434,20531
TCGA-29-1690-01A-01R-1566-13,0.13822999366811164,2838,20531
TCGA-29-1691-01A-01R-1566-13,0.12527397593882422,2572,20531
TCGA-29-1693-01A-01R-1567-13,0.14056792167941162,2886,20531
TCGA-29-1694-01A-01R-1567-13,0.12001363791339925,2464,20531
TCGA-29-1695-01A-01R-1567-13,0.1353562904875554,2779,20531
TCGA-29-1696-01A-01R-1567-13,0.14480541619989284,2973,20531
TCGA-29-1697-01A-01R-1567-13,0.10851882519117433,2228,20531
TCGA-29-1698-01A-01R-1567-13,0.11572743655934928,2376,20531
TCGA-29-1699-01A-01R-1567-13,0.10520676050849934,2160,20531
TCGA-29-1701-01A-01R-1567-13,0.1369149091617554,2811,20531
TCGA-29-1702-01A-01R-1567-13,0.11894208757488675,2442,20531
TCGA-29-1703-01A-01R-1567-13,0.13745068433101165,2822,20531
TCGA-29-1705-01A-01R-1567-13,0.13408991281476793,2753,20531
TCGA-29-1710-01A-02R-1567-13,0.12931664312503044,2655,20531
TCGA-29-1711-01A-01R-1567-13,0.16287565145389898,3344,20531
TCGA-29-1761-01A-01R-1567-13,0.13983731917588038,2871,20531
TCGA-29-1762-01A-01R-1567-13,0.12439725293458673,2554,20531
TCGA-29-1763-01A-02R-1567-13,0.10389167600214311,2133,20531
TCGA-29-1770-01A-01R-1567-13,0.1360381861575179,2793,20531
TCGA-29-1770-02A-01R-1567-13,0.12079294725049924,2480,20531
TCGA-29-1776-01A-01R-1567-13,0.14568213920413034,2991,20531
TCGA-29-1778-01A-01R-1567-13,0.13598947932394914,2792,20531
TCGA-29-1781-01A-01R-1567-13,0.1466075690419366,3010,20531
TCGA-29-1783-01A-01R-1567-13,0.12215673859042424,2508,20531
TCGA-29-1784-01A-02R-1567-13,0.13618430665822415,2796,20531
TCGA-29-1785-01A-01R-1567-13,0.15790755442988652,3242,20531
TCGA-29-2414-01A-02R-1569-13,0.1353562904875554,2779,20531
TCGA-29-2414-02A-01R-1569-13,0.11903950124202425,2444,20531
TCGA-29-2425-01A-01R-1569-13,0.15561833325215527,3195,20531
TCGA-29-2427-01A-01R-1569-13,0.160148068774049,3288,20531
TCGA-29-2428-01A-01R-1569-13,0.14923773805464907,3064,20531
TCGA-29-A5NZ-01A-11R-A406-31,0.11538648872436803,2369,20531
TCGA-30-1718-01A-01R-1567-13,0.1458282597048366,2994,20531
TCGA-30-1855-01A-01R-1567-13,0.10637572451414934,2184,20531
TCGA-30-1857-01A-02R-1569-13,0.14061662851298037,2887,20531
TCGA-30-1860-01A-01R-1568-13,0.15766402026204276,3237,20531
TCGA-30-1861-01A-01R-1568-13,0.1379864595002679,2833,20531
TCGA-30-1862-01A-02R-1568-13,0.14207783352004286,2917,20531
TCGA-30-1891-01A-01R-1568-13,0.158394622765574,3252,20531
TCGA-31-1944-01A-01R-1568-13,0.1371097364960304,2815,20531
TCGA-31-1946-01A-01R-1568-13,0.12805026545224296,2629,20531
TCGA-31-1951-01A-01R-1568-13,0.12298475476109298,2525,20531
TCGA-31-1953-01A-01R-1568-13,0.13004724562856168,2670,20531
TCGA-31-1956-01A-01R-1568-13,0.15177049340022405,3116,20531
TCGA-31-1959-01A-01R-1568-13,0.12420242560031172,2550,20531
TCGA-36-1568-01A-01R-1566-13,0.1335054308119429,2741,20531
TCGA-36-1569-01A-01R-1566-13,0.12215673859042424,2508,20531
TCGA-36-1570-01A-01R-1566-13,0.12278992742681798,2521,20531
TCGA-36-1571-01A-01R-1566-13,0.1197701037455555,2459,20531
TCGA-36-1574-01A-01R-1566-13,0.14509765720130535,2979,20531
TCGA-36-1575-01A-01R-1566-13,0.0869416979202182,1785,20531
TCGA-36-1576-01A-01R-1566-13,0.12921922945789294,2653,20531
TCGA-36-1577-01A-01R-1566-13,0.11806536457064926,2424,20531
TCGA-36-1578-01A-01R-1566-13,0.1270274219472992,2608,20531
TCGA-36-1580-01A-01R-1566-13,0.11864984657347426,2436,20531
TCGA-36-1581-01A-01R-1566-13,0.11597097072719302,2381,20531
TCGA-3P-A9WA-01A-11R-A406-31,0.11197701037455556,2299,20531
TCGA-57-1582-01A-01R-1566-13,0.14071404218011788,2889,20531
TCGA-57-1583-01A-01R-1566-13,0.13745068433101165,2822,20531
TCGA-57-1584-01A-01R-1566-13,0.14480541619989284,2973,20531
TCGA-57-1585-01A-01R-1566-13,0.12386147776533048,2543,20531
TCGA-57-1993-01A-01R-1568-13,0.12259510009254299,2517,20531
TCGA-57-1994-01A-01R-1568-13,0.10959037552968681,2250,20531
TCGA-59-2348-01A-01R-1569-13,0.13803516633383664,2834,20531
TCGA-59-2350-01A-01R-1569-13,0.1352588768204179,2777,20531
TCGA-59-2351-01A-01R-1569-13,0.13857094150309288,2845,20531
TCGA-59-2352-01A-01R-1569-13,0.12454337343529297,2557,20531
TCGA-59-2354-01A-01R-1569-13,0.10632701768058059,2183,20531
TCGA-59-2355-01A-01R-1569-13,0.12420242560031172,2550,20531
TCGA-59-2363-01A-01R-1569-13,0.12244897959183673,2514,20531
TCGA-59-A5PD-01A-11R-A406-31,0.120062344746968,2465,20531
TCGA-5X-AA5U-01A-11R-A406-31,0.120062344746968,2465,20531
TCGA-61-1721-01A-01R-1569-13,0.15717695192635528,3227,20531
TCGA-61-1724-01A-01R-1568-13,0.13530758365398665,2778,20531
TCGA-61-1725-01A-01R-1567-13,0.1509424772295553,3099,20531
TCGA-61-1728-01A-01R-1568-13,0.11601967756076177,2382,20531
TCGA-61-1733-01A-01R-1567-13,0.14612050070624907,3000,20531
TCGA-61-1736-01B-01R-1568-13,0.13058302079781794,2681,20531
TCGA-61-1737-01A-01R-1567-13,0.13335931031123666,2738,20531
TCGA-61-1738-01A-01R-1567-13,0.14763041254688034,3031,20531
TCGA-61-1740-01A-01R-1567-13,0.12863474745506795,2641,20531
TCGA-61-1741-01A-02R-1567-13,0.1121231308752618,2302,20531
TCGA-61-1743-01A-01R-1568-13,0.1257610442745117,2582,20531
TCGA-61-1900-01A-01R-1567-13,0.11246407871024305,2309,20531
TCGA-61-1907-01A-01R-1567-13,0.16253470361891773,3337,20531
TCGA-61-1910-01A-01R-1567-13,0.16998684915493645,3490,20531
TCGA-61-1914-01A-01R-1567-13,0.1343821538161804,2759,20531
TCGA-61-1917-01A-01R-1568-13,0.1351614631532804,2775,20531
TCGA-61-1918-01A-01R-1568-13,0.1382787005016804,2839,20531
TCGA-61-1919-01A-01R-1568-13,0.14305197019141785,2937,20531
